,Name,Country,Region,Winery,Rating,NumberOfRatings,Price,Year,WineStyle,Full_Name
655,Sorì dei Mori Barbera d'Asti 2018,Italy,Barbera d'Asti,Vinchio - Vaglio Serra,3.1,121,8.9,2018,red,Sorì dei Mori Barbera d'Asti 2018 Vinchio - Vaglio Serra red
656,Margaux (Grand Cru Classé) 2016,France,Margaux,Château Marquis d'Alesme,4.1,121,53.61,2016,red,Margaux (Grand Cru Classé) 2016 Château Marquis d'Alesme red
657,Pinotage 2018,South Africa,Stellenbosch,Stellenrust,3.6,121,8.72,2018,red,Pinotage 2018 Stellenrust red
658,I Bastioni Chianti Classico 2017,Italy,Chianti Classico,Collazzi,3.8,121,15.42,2017,red,I Bastioni Chianti Classico 2017 Collazzi red
659,4 20 Montepulciano d'Abruzzo 2018,Italy,Montepulciano d'Abruzzo,Torri,3.8,121,8.9,2018,red,4 20 Montepulciano d'Abruzzo 2018 Torri red
660,Pinotage 2016,South Africa,Stellenbosch,Anura,3.8,121,12.6,2016,red,Pinotage 2016 Anura red
661,Cabernet Sauvignon Grande Reserva 2014,Portugal,Lisboa,Casa do Lago,4.1,121,5.99,2014,red,Cabernet Sauvignon Grande Reserva 2014 Casa do Lago red
662,Reserva 2012,Spain,Rioja,Viña Olabarri,3.7,121,13.7,2012,red,Reserva 2012 Viña Olabarri red
663,Special Reserve Cabernet Sauvignon 2013,Chile,Colchagua Valley,Siegel,3.7,121,12.62,2013,red,Special Reserve Cabernet Sauvignon 2013 Siegel red
664,Tenuta Santedame Chianti Classico 2015,Italy,Chianti Classico,Ruffino,3.8,121,19.42,2015,red,Tenuta Santedame Chianti Classico 2015 Ruffino red
665,Caladessa Tinto 2016,Portugal,Alentejo,Herdade da Calada,4.0,121,9.9,2016,red,Caladessa Tinto 2016 Herdade da Calada red
666,Spätburgunder 2017,Germany,Ahr,Hand in Hand - Meyer-Näkel & Klumpp,3.9,121,12.5,2017,red,Spätburgunder 2017 Hand in Hand - Meyer-Näkel & Klumpp red
667,Pietra Susumaniello 2018,Italy,Salento,Menhir,3.8,121,12.9,2018,red,Pietra Susumaniello 2018 Menhir red
668,Savigny Premier Cru 'Aux Clous' 2014,France,Savigny-lès-Beaune 1er Cru 'Aux Clous',Ardhuy,3.8,121,23.59,2014,red,Savigny Premier Cru 'Aux Clous' 2014 Ardhuy red
669,Cabernet Sauvignon - Syrah 2018,France,Pays d'Oc,Anciens Temps,3.6,121,5.7,2018,red,Cabernet Sauvignon - Syrah 2018 Anciens Temps red
670,Roches d'Hillac 2015,France,Buzet,Les Vignerons de Buzet,3.4,121,6.2,2015,red,Roches d'Hillac 2015 Les Vignerons de Buzet red
671,La Cumbre Syrah 2015,Chile,Aconcagua Valley,Errazuriz,4.3,121,63.27,2015,red,La Cumbre Syrah 2015 Errazuriz red
672,Argile Rouge 2017,France,Vins des Allobroges,Domaine des Ardoisieres,3.9,121,29.15,2017,red,Argile Rouge 2017 Domaine des Ardoisieres red
673,Brunello di Montalcino Riserva 2010,Italy,Brunello di Montalcino,Conti Costanti,4.5,121,144.53,2010,red,Brunello di Montalcino Riserva 2010 Conti Costanti red
674,One Red Blend 2016,South Africa,Western Cape,Capaia,3.9,121,19.05,2016,red,One Red Blend 2016 Capaia red
675,Circle of Life Red 2015,South Africa,Stellenbosch,Waterkloof,3.7,121,16.9,2015,red,Circle of Life Red 2015 Waterkloof red
676,Barolo 2013,Italy,Barolo,Ceretto,4.0,1211,48.4,2013,red,Barolo 2013 Ceretto red
677,Grand Cru Apalta 2014,Chile,Colchagua Valley,Caballo Loco,4.4,1211,27.2,2014,red,Grand Cru Apalta 2014 Caballo Loco red
